gainQuoteHomeConversionFactor,reason,accountBalance,type,halfSpreadCost,instrument,tradeCloseTransactionID,time,pl,baseFinancingHomeConversionCost,accountID,requestID,guaranteedExecutionFeeHomeConversionCost,guaranteedExecutionFee,fullPrice,positionFinancings,takeProfitOnFill,longPositionCloseout,userID,quotePL,plHomeConversionCost,closedTradeID,positionFill,commission,requestedUnits,lossQuoteHomeConversionFactor,quoteGuaranteedExecutionFee,triggerCondition,baseFinancing,triggerMode,stopLossOnFill,id,tradeOpened,financing,baseHomeConversionCost,units,batchID,homeConversionFactors,price,tradeID,orderID,timeInForce,tradesClosed,fullVWAP,homeConversionCost
,CLIENT_ORDER,,MARKET_ORDER,,EUR_USD,,2024-07-29T14:02:07.849051547Z,,,101-004-29576199-001,6.12669E+16,,,,,"{'price': '1.08203', 'timeInForce': 'GTC'}",,29576199,,,,DEFAULT,,,,,,,,"{'price': '1.08065', 'timeInForce': 'GTC', 'triggerMode': 'TOP_OF_BOOK'}",4,,,,1000,4,,,,,FOK,,,
0.77487686,MARKET_ORDER,100000,ORDER_FILL,0.0312,EUR_USD,,2024-07-29T14:02:07.849051547Z,0,0,101-004-29576199-001,6.12669E+16,0,0,"{'closeoutBid': '1.08113', 'closeoutAsk': '1.08139', 'timestamp': '2024-07-29T14:02:06.907527093Z', 'bids': [{'price': '1.08122', 'liquidity': '500000'}, {'price': '1.08121', 'liquidity': '2500000'}, {'price': '1.08120', 'liquidity': '2000000'}, {'price': '1.08119', 'liquidity': '5000000'}, {'price': '1.08116', 'liquidity': '10000000'}, {'price': '1.08113', 'liquidity': '10000000'}], 'asks': [{'price': '1.08130', 'liquidity': '500000'}, {'price': '1.08131', 'liquidity': '500000'}, {'price': '1.08132', 'liquidity': '2000000'}, {'price': '1.08133', 'liquidity': '2000000'}, {'price': '1.08134', 'liquidity': '5000000'}, {'price': '1.08136', 'liquidity': '10000000'}, {'price': '1.08139', 'liquidity': '10000000'}]}",,,,29576199,0,0,,,0,1000,0.782664567,0,,0,,,5,"{'price': '1.08130', 'tradeID': '5', 'units': '1000', 'guaranteedExecutionFee': '0.0000', 'quoteGuaranteedExecutionFee': '0', 'halfSpreadCost': '0.0312', 'initialMarginRequired': '28.0687', 'guaranteedExecutionFeeHomeConversionCost': '0.00000000000000'}",0,,1000,4,"{'gainQuoteHome': {'factor': '0.77487686027681'}, 'lossQuoteHome': {'factor': '0.78266456741527'}, 'gainBaseHome': {'factor': '0.83784970'}, 'lossBaseHome': {'factor': '0.84627030'}}",1.0813,,4,,,1.0813,0
,ON_FILL,,TAKE_PROFIT_ORDER,,,,2024-07-29T14:02:07.849051547Z,,,101-004-29576199-001,6.12669E+16,,,,,,,29576199,,,,,,,,,DEFAULT,,,,6,,,,,4,,1.08203,5,,GTC,,,
,ON_FILL,,STOP_LOSS_ORDER,,,,2024-07-29T14:02:07.849051547Z,,,101-004-29576199-001,6.12669E+16,,,,,,,29576199,,,,,,,,,DEFAULT,,TOP_OF_BOOK,,7,,,,,4,,1.08065,5,,GTC,,,
,CLIENT_ORDER,,MARKET_ORDER,,EUR_USD,,2024-07-29T14:03:33.423808083Z,,,101-004-29576199-001,1.1531E+17,,,,,"{'price': '1.08203', 'timeInForce': 'GTC'}",,29576199,,,,DEFAULT,,,,,,,,"{'price': '1.08065', 'timeInForce': 'GTC', 'triggerMode': 'TOP_OF_BOOK'}",8,,,,1000,8,,,,,FOK,,,
0.775006624,MARKET_ORDER,100000,ORDER_FILL,0.0234,EUR_USD,,2024-07-29T14:03:33.423808083Z,0,0,101-004-29576199-001,1.1531E+17,0,0,"{'closeoutBid': '1.08101', 'closeoutAsk': '1.08125', 'timestamp': '2024-07-29T14:03:33.048296136Z', 'bids': [{'price': '1.08110', 'liquidity': '500000'}, {'price': '1.08109', 'liquidity': '2500000'}, {'price': '1.08108', 'liquidity': '2000000'}, {'price': '1.08107', 'liquidity': '5000000'}, {'price': '1.08104', 'liquidity': '10000000'}, {'price': '1.08101', 'liquidity': '10000000'}], 'asks': [{'price': '1.08116', 'liquidity': '500000'}, {'price': '1.08117', 'liquidity': '500000'}, {'price': '1.08118', 'liquidity': '2000000'}, {'price': '1.08119', 'liquidity': '2000000'}, {'price': '1.08120', 'liquidity': '5000000'}, {'price': '1.08122', 'liquidity': '10000000'}, {'price': '1.08125', 'liquidity': '10000000'}]}",,,,29576199,0,0,,,0,1000,0.782795636,0,,0,,,9,"{'price': '1.08116', 'tradeID': '9', 'units': '1000', 'guaranteedExecutionFee': '0.0000', 'quoteGuaranteedExecutionFee': '0', 'halfSpreadCost': '0.0234', 'initialMarginRequired': '28.0700', 'guaranteedExecutionFeeHomeConversionCost': '0.00000000000000'}",0,,1000,8,"{'gainQuoteHome': {'factor': '0.77500662446809'}, 'lossQuoteHome': {'factor': '0.78279563576927'}, 'gainBaseHome': {'factor': '0.83788950'}, 'lossBaseHome': {'factor': '0.84631050'}}",1.08116,,8,,,1.08116,0
,ON_FILL,,TAKE_PROFIT_ORDER,,,,2024-07-29T14:03:33.423808083Z,,,101-004-29576199-001,1.1531E+17,,,,,,,29576199,,,,,,,,,DEFAULT,,,,10,,,,,8,,1.08203,9,,GTC,,,
,ON_FILL,,STOP_LOSS_ORDER,,,,2024-07-29T14:03:33.423808083Z,,,101-004-29576199-001,1.1531E+17,,,,,,,29576199,,,,,,,,,DEFAULT,,TOP_OF_BOOK,,11,,,,,8,,1.08065,9,,GTC,,,
,CLIENT_ORDER,,MARKET_ORDER,,EUR_USD,,2024-07-29T14:15:59.845372152Z,,,101-004-29576199-001,9.72957E+16,,,,,"{'price': '1.08190', 'timeInForce': 'GTC'}",,29576199,,,,DEFAULT,,,,,,,,"{'price': '1.08064', 'timeInForce': 'GTC', 'triggerMode': 'TOP_OF_BOOK'}",12,,,,1000,12,,,,,FOK,,,
0.775335756,MARKET_ORDER,100000,ORDER_FILL,0.0312,EUR_USD,,2024-07-29T14:15:59.845372152Z,0,0,101-004-29576199-001,9.72957E+16,0,0,"{'closeoutBid': '1.08098', 'closeoutAsk': '1.08124', 'timestamp': '2024-07-29T14:15:55.052968803Z', 'bids': [{'price': '1.08107', 'liquidity': '500000'}, {'price': '1.08106', 'liquidity': '2500000'}, {'price': '1.08105', 'liquidity': '2000000'}, {'price': '1.08104', 'liquidity': '5000000'}, {'price': '1.08101', 'liquidity': '10000000'}, {'price': '1.08098', 'liquidity': '10000000'}], 'asks': [{'price': '1.08115', 'liquidity': '500000'}, {'price': '1.08116', 'liquidity': '500000'}, {'price': '1.08117', 'liquidity': '2000000'}, {'price': '1.08118', 'liquidity': '2000000'}, {'price': '1.08119', 'liquidity': '5000000'}, {'price': '1.08121', 'liquidity': '10000000'}, {'price': '1.08124', 'liquidity': '10000000'}]}",,,,29576199,0,0,,,0,1000,0.783128075,0,,0,,,13,"{'price': '1.08115', 'tradeID': '13', 'units': '1000', 'guaranteedExecutionFee': '0.0000', 'quoteGuaranteedExecutionFee': '0', 'halfSpreadCost': '0.0312', 'initialMarginRequired': '28.0810', 'guaranteedExecutionFeeHomeConversionCost': '0.00000000000000'}",0,,1000,12,"{'gainQuoteHome': {'factor': '0.77533575579854'}, 'lossQuoteHome': {'factor': '0.78312807495230'}, 'gainBaseHome': {'factor': '0.83821785'}, 'lossBaseHome': {'factor': '0.84664215'}}",1.08115,,12,,,1.08115,0
